Industry_std,shortfall_mean,shortfall_std,shortfall_p5,shortfall_p25,shortfall_p50,shortfall_p75,shortfall_p95,p_net_loss,baseline_total_rev,shortfall_pct_of_rev,deficit_trap,timeline
Finance And Insurance,229548503541.55338,11815496643.316845,210514447681.41415,221471341302.0743,229273266697.21832,237380739523.52832,249383894487.58752,1.0,1826885591560.0,0.12549952101895942,1,Median
Real Estate And Rental And Leasing,16908231071.77678,885738714.826759,15481612423.790459,16297527795.017942,16886896722.146555,17496061448.910152,18391460108.035793,1.0,288235310413.0,0.05858718939726727,1,Median
"Professional, Scientific, And Technical Services",103474667067.20502,5234559703.11248,95052247782.41472,99896578629.39934,103330903961.94995,106920356988.53177,112290033841.45122,1.0,739998565296.0,0.13963662743132146,1,Median
Management Of Companies And Enterprises,41450815912.29275,2141497987.4161377,38043748714.58183,39979315515.5956,41387106316.958305,42861433496.939995,45065930449.27601,1.0,378043648426.0,0.10947705771350794,1,Median
Administrative And Support And Waste Management And Remediation Services,20152716248.462936,1027093933.1695021,18513939358.03889,19445006299.008163,20126823607.739418,20830295964.074905,21884860465.144974,1.0,331656945982.0,0.060685668886403366,1,Median
Educational Services,1985902889.245942,100572635.5333797,1824762677.2448273,1916853053.7032285,1983475152.6293912,2052270425.4589322,2155832502.4783163,1.0,25456943254.0,0.07791489861288557,1,Median
Health Care And Social Assistance,17837423950.36051,920555701.5213575,16360124203.65454,17206777489.1017,17816420056.63852,18445361433.522644,19396003907.85307,1.0,523890269411.0,0.034007923217717305,0,Median
"Arts, Entertainment, And Recreation",3383966988.6942954,176884521.9488054,3100979211.704401,3261891226.5085583,3378822765.9108353,3500239563.7407084,3683789538.14899,1.0,79457472316.0,0.042523662878091034,0,Median
Accommodation And Food Services,1868090935.1447785,111260633.1227665,1690723148.5266454,1791514513.2424853,1865151933.4261515,1941147691.5226882,2055822075.9003549,1.0,278571475608.0,0.006695416066398538,0,Median
Other Services (Except Public Administration),6903733482.84303,351736524.7489281,6339518026.694703,6661479418.284945,6894406142.00068,7135900382.028762,7498669471.15153,1.0,126010857413.0,0.05471279446503801,1,Median
"Agriculture, Forestry, Fishing And Hunting",3922829266.4368,199907048.44788074,3602616531.3762116,3785525276.1024714,3917308184.407229,4055115051.935182,4259900131.675824,1.0,108808872429.0,0.03600173494090155,0,Fast
"Mining, Quarrying, And Oil And Gas Extraction",20314299718.916626,1051130929.8439237,18632834863.623684,19590615887.831543,20285447387.260902,21006876336.884384,22091722873.654346,1.0,221305581433.0,0.09166261083840896,1,Fast
Utilities,46423115694.80925,2330932815.157101,42687472894.94125,44819435272.775894,46373809638.41405,47962455655.99603,50340982116.203316,1.0,315424279537.0,0.14702041867697851,1,Fast
Construction,71945732074.66286,3660697035.6001177,66091050352.113205,69431915537.32718,71848407024.61632,74358847132.91191,78145010757.66954,1.0,973606371810.0,0.07379615530971236,1,Fast
Manufacturing,405590355842.8726,20768527557.64639,372369562617.9487,391256842118.75977,405112534260.20496,419259937936.131,440865557422.54297,1.0,3660878715446.0,0.11065991685300905,1,Fast
Wholesale Trade,431011903315.76886,21639238975.488583,396407907724.94104,416135747658.3168,430529747252.4717,445181037520.318,467665523373.6406,1.0,2675334734746.0,0.16092556257015322,1,Fast
Retail Trade,198484914678.0934,10020307603.563547,182457778592.62552,191595178820.55402,198260027638.77036,205145711102.74567,215374533927.26785,1.0,2283821037359.0,0.08681066703371702,1,Fast
Transportation And Warehousing,30308767335.46034,1537218278.4541197,27841748594.050434,29252821547.590916,30274833828.65074,31321019065.496445,32899918651.870914,1.0,526967412568.0,0.05745105504933679,1,Fast
Information,198188480703.221,10058172308.613716,182168346755.673,191236220573.74728,197959695610.26343,204840578042.02063,215143631782.76318,1.0,767822553775.0,0.257819589483266,1,Fast
Finance And Insurance,463658218604.6733,23598776273.47248,425931682155.64453,447444175286.21906,463012784886.9408,479239956838.1975,503544778740.59644,1.0,1826885591560.0,0.2534437772272146,1,Fast
Real Estate And Rental And Leasing,38493771909.37266,1960237802.4484258,35354596614.9416,37146624829.42797,38443510763.43536,39783652245.77849,41806750402.72858,1.0,288235310413.0,0.1333754379654294,1,Fast
"Professional, Scientific, And Technical Services",197878795029.09137,9956084167.952196,181943828665.4082,191025522066.85263,197612630412.97708,204470820479.19623,214624301922.96347,1.0,739998565296.0,0.2670446128958802,1,Fast
Management Of Companies And Enterprises,83344072595.90079,4235952999.1414146,76549517007.50113,80455802786.56123,83233677899.1948,86132285203.4625,90501294708.8772,1.0,378043648426.0,0.22016949165986938,1,Fast
Administrative And Support And Waste Management And Remediation Services,42303782076.13133,2134350875.6935453,38870350126.35002,40850528187.14377,42255429145.36182,43711659762.61992,45903079073.97383,1.0,331656945982.0,0.12740703807739684,1,Fast
Educational Services,4284574530.5656695,216344677.74772286,3938412421.919347,4136199418.2130833,4278772747.3139625,4427036162.255292,4650806685.158713,1.0,25456943254.0,0.16807881074416298,1,Fast
Health Care And Social Assistance,44123609689.12406,2231168685.963208,40569556552.7565,42583629703.87924,44060251659.92709,45599421560.0813,47886615138.696846,1.0,523890269411.0,0.08410206150509955,1,Fast
"Arts, Entertainment, And Recreation",7607027893.573665,390394362.9092372,6980829410.800189,7339825705.454866,7595423610.299811,7865832672.914652,8264310963.369396,1.0,79457472316.0,0.09559105505009068,1,Fast
Accommodation And Food Services,5246538323.921486,281106896.5706335,4796708329.506157,5053298287.964174,5239370553.933645,5432278982.865763,5721309091.575673,1.0,278571475608.0,0.01880799368455936,0,Fast
Other Services (Except Public Administration),15414382532.699955,777215158.3477058,14172242258.775892,14879319462.888233,15393811599.02068,15928921817.133781,16730891845.684345,1.0,126010857413.0,0.12216258118590158,1,Fast
